V1;V2,,
115,220001;3,69
135,979996;4,39
119,339996;4,75
114,959999;6,3
187,050003;12,47
243,919998;12,98
267,429993;14,2
238,710007;14,76
295,940002;15,32
317,779999;16,389999
216,000001;17,35
240,350006;17,77
386,570007;17,93
261,529999;18,43
249,339996;18,549999
309,869995;18,799999
345,890015;18,809999
165,539993;19,40001
196,979996;19,219999
395,26001;19,93
406,339996;20,129999
171,919998;20,33
303,230011;20,370001
377,040009;20,43
194,350006;21,450001
213,479996;22,52
293,869995;22,549999
259,609985;22,860001
323,709991;24,200001
275,019989;24,389999
109,709999;24,42
359,190002;25,200001
201,509995;25,5
460,359985;26,610001
447,76001;26,700001
482,549988;27,139999
438,290009;27,16
587,659973;28,620001
257,950012;29,4
375,730011;33,400002
